transaction,category,confidence,explanation
CHRISTMAS CRAFT LITTLE FRIENDS,Food & Dining,0.9577,The model identified patterns in the keywords: 'christmas craft little friends'.
COSY HOUR CIGAR BOX MATCHES ,Food & Dining,0.999,The model identified patterns in the keywords: 'cosy hour cigar matches'.
RED TEA TOWEL CLASSIC DESIGN,Food & Dining,0.9995,The model identified patterns in the keywords: 'towel classic design'.
HEART FILIGREE DOVE  SMALL,Food & Dining,0.6244,The model identified patterns in the keywords: 'heart filigree dove small'.
RETROSPOT CHILDRENS APRON,Shopping,0.9966,The model identified patterns in the keywords: 'retrospot childrens apron'.
COLOURING PENCILS BROWN TUBE,Shopping,0.9932,The model identified patterns in the keywords: 'colouring pencils brown tube'.
4 IVORY DINNER CANDLES SILVER FLOCK,Other,0.5153,Model confidence was low; classified as Other.
HEART FILIGREE DOVE  SMALL,Food & Dining,0.6244,The model identified patterns in the keywords: 'heart filigree dove small'.
ZINC METAL HEART DECORATION,Shopping,0.9919,The model identified patterns in the keywords: 'zinc metal heart decoration'.
GREEN FERN NOTEBOOK,Shopping,0.9625,The model identified patterns in the keywords: 'green fern notebook'.
BLUE PAISLEY NOTEBOOK,Shopping,0.9976,The model identified patterns in the keywords: 'blue paisley notebook'.
CHRYSANTHEMUM NOTEBOOK,Shopping,0.9275,The model identified patterns in the keywords: 'chrysanthemum notebook'.
LARGE CHINESE STYLE SCISSOR,Shopping,0.9713,The model identified patterns in the keywords: 'large chinese style scissor'.
SMALL CHINESE STYLE SCISSOR,Food & Dining,0.6265,The model identified patterns in the keywords: 'small chinese style scissor'.
S/6 WOODEN SKITTLES IN COTTON BAG,Food & Dining,0.8331,The model identified patterns in the keywords: 'wooden skittles cotton'.
TRADITIONAL WOODEN SKIPPING ROPE,Food & Dining,0.997,The model identified patterns in the keywords: 'traditional wooden skipping rope'.
SET OF 6 SOLDIER SKITTLES,Shopping,0.6564,The model identified patterns in the keywords: 'soldier skittles'.
4 TRADITIONAL SPINNING TOPS,Food & Dining,0.9934,The model identified patterns in the keywords: 'traditional spinning tops'.
ROTATING SILVER ANGELS T-LIGHT HLDR,Shopping,0.924,The model identified patterns in the keywords: 'rotating silver angels t-light hldr'.
BLACK LOVE BIRD CANDLE,Food & Dining,0.8975,The model identified patterns in the keywords: 'black love bird candle'.
RETROSPOT CHILDRENS APRON,Shopping,0.9966,The model identified patterns in the keywords: 'retrospot childrens apron'.
HANGING GLASS ETCHED TEALIGHT,Food & Dining,0.8506,The model identified patterns in the keywords: 'hanging glass etched tealight'.
HANGING GLASS ETCHED TEALIGHT,Food & Dining,0.8506,The model identified patterns in the keywords: 'hanging glass etched tealight'.
BLUE NEW BAROQUE CANDLESTICK CANDLE,Shopping,0.9661,The model identified patterns in the keywords: 'blue baroque candlestick candle'.
COOKING SET RETROSPOT,Food & Dining,0.9774,The model identified patterns in the keywords: 'cooking retrospot'.
KINGS CHOICE GIANT TUBE MATCHES,Other,0.5921,Model confidence was low; classified as Other.
COSY HOUR GIANT TUBE MATCHES,Food & Dining,0.9994,The model identified patterns in the keywords: 'cosy hour giant tube matches'.
PLACE SETTING WHITE STAR,Shopping,0.7793,The model identified patterns in the keywords: 'place setting white star'.
HYACINTH BULB T-LIGHT CANDLES,Food & Dining,0.9436,The model identified patterns in the keywords: 'hyacinth bulb t-light candles'.
S/15 SILVER GLASS BAUBLES IN BAG,Bills & Utilities,0.852,The model identified patterns in the keywords: 's/15 silver glass baubles'.
FRENCH WC SIGN BLUE METAL,Shopping,0.7014,The model identified patterns in the keywords: 'french sign blue metal'.
KINGS CHOICE GIANT TUBE MATCHES,Other,0.5921,Model confidence was low; classified as Other.
72 SWEETHEART FAIRY CAKE CASES,Food & Dining,0.9962,The model identified patterns in the keywords: 'sweetheart fairy cake cases'.
ASSORTED COLOUR BIRD ORNAMENT,Shopping,0.9964,The model identified patterns in the keywords: 'assorted colour bird ornament'.
FAIRY SOAP SOAP HOLDER,Other,0.5726,Model confidence was low; classified as Other.
GREEN GIANT GARDEN THERMOMETER,Shopping,0.9864,The model identified patterns in the keywords: 'green giant garden thermometer'.
IVORY GIANT GARDEN THERMOMETER,Shopping,0.9993,The model identified patterns in the keywords: 'ivory giant garden thermometer'.
BLUE GIANT GARDEN THERMOMETER,Shopping,0.9868,The model identified patterns in the keywords: 'blue giant garden thermometer'.
PACK OF 60 PINK PAISLEY CAKE CASES,Food & Dining,0.9122,The model identified patterns in the keywords: 'pack pink paisley cake cases'.
RETROSPOT HEART HOT WATER BOTTLE,Bills & Utilities,0.9602,The model identified patterns in the keywords: 'retrospot heart water bottle'.
CHICK GREY HOT WATER BOTTLE,Food & Dining,0.9978,The model identified patterns in the keywords: 'chick grey water bottle'.
VICTORIAN SEWING BOX SMALL ,Shopping,0.9997,The model identified patterns in the keywords: 'victorian sewing small'.
VICTORIAN SEWING BOX MEDIUM,Shopping,0.9997,The model identified patterns in the keywords: 'victorian sewing medium'.
SET/10 RED POLKADOT PARTY CANDLES,Food & Dining,0.7018,The model identified patterns in the keywords: 'set/10 polkadot party candles'.
WASHROOM METAL SIGN,Medical,0.6009,The model identified patterns in the keywords: 'washroom metal sign'.
BLACK SWEETHEART BRACELET,Shopping,0.9972,The model identified patterns in the keywords: 'black sweetheart bracelet'.
DIAMANTE HAIR GRIP PACK/2 BLACK DIA,Shopping,0.9505,The model identified patterns in the keywords: 'diamante hair grip pack/2 black'.
BLACK DIAMANTE EXPANDABLE RING,Other,0.5835,Model confidence was low; classified as Other.
DIAMANTE HAIR GRIP PACK/2 RUBY,Shopping,0.8811,The model identified patterns in the keywords: 'diamante hair grip pack/2 ruby'.
DIAMANTE HAIR GRIP PACK/2 MONTANA,Shopping,0.8668,The model identified patterns in the keywords: 'diamante hair grip pack/2 montana'.
BLUE SWEETHEART BRACELET,Shopping,0.9974,The model identified patterns in the keywords: 'blue sweetheart bracelet'.
PINK SWEETHEART BRACELET,Shopping,0.9991,The model identified patterns in the keywords: 'pink sweetheart bracelet'.
PURPLE SWEETHEART BRACELET,Shopping,0.9963,The model identified patterns in the keywords: 'purple sweetheart bracelet'.
JUMBO BAG PINK POLKADOT,Food & Dining,0.9664,The model identified patterns in the keywords: 'jumbo pink polkadot'.
JUMBO BAG RED RETROSPOT,Food & Dining,0.7956,The model identified patterns in the keywords: 'jumbo retrospot'.
ASSORTED COLOUR BIRD ORNAMENT,Shopping,0.9964,The model identified patterns in the keywords: 'assorted colour bird ornament'.
PAPER CHAIN KIT 50'S CHRISTMAS ,Shopping,0.9991,The model identified patterns in the keywords: 'paper chain 50's christmas'.
RIBBON REEL CHRISTMAS PRESENT ,Food & Dining,0.7133,The model identified patterns in the keywords: 'ribbon reel christmas present'.
FIRST AID TIN,Medical,0.7962,The model identified patterns in the keywords: 'first'.
MAKE YOUR OWN MONSOON CARD KIT,Bills & Utilities,0.9633,The model identified patterns in the keywords: 'make your monsoon card'.
PACK OF 12 HEARTS DESIGN TISSUES ,Shopping,0.9511,The model identified patterns in the keywords: 'pack hearts design tissues'.
PACK OF 12 RED RETROSPOT TISSUES ,Bills & Utilities,0.945,The model identified patterns in the keywords: 'pack retrospot tissues'.
SOLDIERS EGG CUP ,Food & Dining,0.9992,The model identified patterns in the keywords: 'soldiers'.
HEART IVORY TRELLIS SMALL,Shopping,0.9984,The model identified patterns in the keywords: 'heart ivory trellis small'.
HEART FILIGREE DOVE  SMALL,Food & Dining,0.6244,The model identified patterns in the keywords: 'heart filigree dove small'.
HEART FILIGREE DOVE LARGE,Other,0.4787,Model confidence was low; classified as Other.
PACK 3 BOXES BIRD PANNETONE ,Food & Dining,0.7786,The model identified patterns in the keywords: 'pack boxes bird pannetone'.
PACK 3 BOXES CHRISTMAS PANNETONE,Shopping,0.9933,The model identified patterns in the keywords: 'pack boxes christmas pannetone'.
SMALL POPCORN HOLDER,Food & Dining,0.9989,The model identified patterns in the keywords: 'small popcorn holder'.
PACK OF 60 PINK PAISLEY CAKE CASES,Food & Dining,0.9122,The model identified patterns in the keywords: 'pack pink paisley cake cases'.
SET OF 6 SOLDIER SKITTLES,Shopping,0.6564,The model identified patterns in the keywords: 'soldier skittles'.
SWIRLY CIRCULAR RUBBERS IN BAG,Food & Dining,0.6995,The model identified patterns in the keywords: 'swirly circular rubbers'.
VINTAGE PAISLEY STATIONERY SET,Shopping,0.9996,The model identified patterns in the keywords: 'vintage paisley stationery'.
PAPER CHAIN KIT VINTAGE CHRISTMAS,Shopping,0.9993,The model identified patterns in the keywords: 'paper chain vintage christmas'.
SET/10 BLUE POLKADOT PARTY CANDLES,Food & Dining,0.9013,The model identified patterns in the keywords: 'set/10 blue polkadot party candles'.
RIBBON REEL SOCKS AND MITTENS,Shopping,0.9805,The model identified patterns in the keywords: 'ribbon reel socks mittens'.
60 CAKE CASES VINTAGE CHRISTMAS,Food & Dining,0.7319,The model identified patterns in the keywords: 'cake cases vintage christmas'.
CHRISTMAS METAL TAGS ASSORTED ,Shopping,0.9994,The model identified patterns in the keywords: 'christmas metal tags assorted'.
CHRISTMAS TREE T-LIGHT HOLDER,Food & Dining,0.9363,The model identified patterns in the keywords: 'christmas tree t-light holder'.
STAR  T-LIGHT HOLDER ,Other,0.3012,Model confidence was low; classified as Other.
HEART T-LIGHT HOLDER ,Food & Dining,0.9539,The model identified patterns in the keywords: 'heart t-light holder'.
MINI FUNKY DESIGN TAPES,Shopping,0.9996,The model identified patterns in the keywords: 'mini funky design tapes'.
SET OF 6 T-LIGHTS SNOWMEN,Shopping,0.7698,The model identified patterns in the keywords: 't-lights snowmen'.
STAR WOODEN CHRISTMAS DECORATION,Shopping,0.8899,The model identified patterns in the keywords: 'star wooden christmas decoration'.
WOODEN HEART CHRISTMAS SCANDINAVIAN,Food & Dining,0.9957,The model identified patterns in the keywords: 'wooden heart christmas scandinavian'.
CHRISTMAS RETROSPOT TREE WOOD,Shopping,0.9647,The model identified patterns in the keywords: 'christmas retrospot tree wood'.
SET OF 6 T-LIGHTS SANTA,Shopping,0.8056,The model identified patterns in the keywords: 't-lights santa'.
SET/9 CHRISTMAS T-LIGHTS SCENTED ,Food & Dining,0.7544,The model identified patterns in the keywords: 'set/9 christmas t-lights scented'.
BLUE ROSE FABRIC MIRROR,Shopping,0.9984,The model identified patterns in the keywords: 'blue rose fabric mirror'.
THREE CANVAS LUGGAGE TAGS,Shopping,0.997,The model identified patterns in the keywords: 'three canvas luggage tags'.
RETROSPOT PARTY BAG + STICKER SET,Entertainment,0.6484,The model identified patterns in the keywords: 'retrospot party sticker'.
PLASTERS IN TIN VINTAGE PAISLEY ,Shopping,0.9979,The model identified patterns in the keywords: 'plasters vintage paisley'.
RETROSPOT SMALL TUBE MATCHES,Medical,0.8582,The model identified patterns in the keywords: 'retrospot small tube matches'.
HAND WARMER SCOTTY DOG DESIGN,Food & Dining,0.8244,The model identified patterns in the keywords: 'hand warmer scotty design'.
3D CHRISTMAS STAMPS STICKERS ,Shopping,0.9986,The model identified patterns in the keywords: 'christmas stamps stickers'.
HAND WARMER SCOTTY DOG DESIGN,Food & Dining,0.8244,The model identified patterns in the keywords: 'hand warmer scotty design'.
HAND WARMER SCOTTY DOG DESIGN,Food & Dining,0.8244,The model identified patterns in the keywords: 'hand warmer scotty design'.
CLOTHES PEGS RETROSPOT PACK 24 ,Shopping,0.9997,The model identified patterns in the keywords: 'clothes pegs retrospot pack'.
36 FOIL HEART CAKE CASES,Food & Dining,0.9994,The model identified patterns in the keywords: 'foil heart cake cases'.
CHRISTMAS METAL TAGS ASSORTED ,Shopping,0.9994,The model identified patterns in the keywords: 'christmas metal tags assorted'.
PACK OF 6 SWEETIE GIFT BOXES,Shopping,0.9988,The model identified patterns in the keywords: 'pack sweetie gift boxes'.
PACK OF 72 RETROSPOT CAKE CASES,Food & Dining,0.9768,The model identified patterns in the keywords: 'pack retrospot cake cases'.
PACK OF 72 RETROSPOT CAKE CASES,Food & Dining,0.9768,The model identified patterns in the keywords: 'pack retrospot cake cases'.
PACK OF 6 BIRDY GIFT TAGS,Shopping,0.9972,The model identified patterns in the keywords: 'pack birdy gift tags'.
SET/10 RED POLKADOT PARTY CANDLES,Food & Dining,0.7018,The model identified patterns in the keywords: 'set/10 polkadot party candles'.
SET/10 PINK POLKADOT PARTY CANDLES,Food & Dining,0.7855,The model identified patterns in the keywords: 'set/10 pink polkadot party candles'.
SET OF 3 NOTEBOOKS IN PARCEL,Shopping,0.9968,The model identified patterns in the keywords: 'notebooks parcel'.
STAR  T-LIGHT HOLDER ,Other,0.3012,Model confidence was low; classified as Other.
CINAMMON SET OF 9 T-LIGHTS,Food & Dining,0.9907,The model identified patterns in the keywords: 'cinammon t-lights'.
ORANGE SCENTED SET/9 T-LIGHTS,Food & Dining,0.979,The model identified patterns in the keywords: 'orange scented set/9 t-lights'.
RIBBON REEL STRIPES DESIGN ,Shopping,0.9613,The model identified patterns in the keywords: 'ribbon reel stripes design'.
SET OF 2 TINS JARDIN DE PROVENCE,Food & Dining,0.6562,The model identified patterns in the keywords: 'tins jardin provence'.
MAKE YOUR OWN PLAYTIME CARD KIT,Bills & Utilities,0.9237,The model identified patterns in the keywords: 'make your playtime card'.
DINOSAURS  WRITING SET ,Shopping,0.9817,The model identified patterns in the keywords: 'dinosaurs writing'.
BALLOONS  WRITING SET ,Shopping,0.9577,The model identified patterns in the keywords: 'balloons writing'.
SKULLS WRITING SET ,Shopping,0.8543,The model identified patterns in the keywords: 'skulls writing'.
VINTAGE PAISLEY STATIONERY SET,Shopping,0.9996,The model identified patterns in the keywords: 'vintage paisley stationery'.
COSY SLIPPER SHOES SMALL  RED ,Shopping,0.9993,The model identified patterns in the keywords: 'cosy slipper shoes small'.
DOORMAT BLACK FLOCK ,Shopping,0.999,The model identified patterns in the keywords: 'doormat black flock'.
JUMBO  BAG BAROQUE BLACK WHITE,Food & Dining,0.9964,The model identified patterns in the keywords: 'jumbo baroque black white'.
JAM MAKING SET WITH JARS,Food & Dining,0.9997,The model identified patterns in the keywords: 'making with jars'.
ORANGE SCENTED SET/9 T-LIGHTS,Food & Dining,0.979,The model identified patterns in the keywords: 'orange scented set/9 t-lights'.
CINAMMON SET OF 9 T-LIGHTS,Food & Dining,0.9907,The model identified patterns in the keywords: 'cinammon t-lights'.
HAND WARMER SCOTTY DOG DESIGN,Food & Dining,0.8244,The model identified patterns in the keywords: 'hand warmer scotty design'.
CHRISTMAS DECOUPAGE CANDLE,Food & Dining,0.9934,The model identified patterns in the keywords: 'christmas decoupage candle'.
HEART T-LIGHT HOLDER ,Food & Dining,0.9539,The model identified patterns in the keywords: 'heart t-light holder'.
GROW YOUR OWN BASIL IN ENAMEL MUG,Food & Dining,0.9802,The model identified patterns in the keywords: 'grow your basil enamel'.
OFFICE MUG WARMER POLKADOT,Food & Dining,0.9952,The model identified patterns in the keywords: 'office warmer polkadot'.
SMALL POPCORN HOLDER,Food & Dining,0.9989,The model identified patterns in the keywords: 'small popcorn holder'.
JUMBO BAG DOLLY GIRL DESIGN,Shopping,0.965,The model identified patterns in the keywords: 'jumbo dolly girl design'.
JAM MAKING SET WITH JARS,Food & Dining,0.9997,The model identified patterns in the keywords: 'making with jars'.
JAM MAKING SET PRINTED,Food & Dining,0.9989,The model identified patterns in the keywords: 'making printed'.
SMALL GLASS HEART TRINKET POT,Food & Dining,0.9199,The model identified patterns in the keywords: 'small glass heart trinket'.
RED WOOLLY HOTTIE WHITE HEART.,Shopping,0.9573,The model identified patterns in the keywords: 'woolly hottie white heart.'.
BLACK RECORD COVER FRAME,Shopping,0.9969,The model identified patterns in the keywords: 'black record cover frame'.
"RECORD FRAME 7"" SINGLE SIZE ",Entertainment,0.7057,The model identified patterns in the keywords: 'record frame single size'.
36 PENCILS TUBE RED RETROSPOT,Shopping,0.9881,The model identified patterns in the keywords: 'pencils tube retrospot'.
36 PENCILS TUBE WOODLAND,Shopping,0.9802,The model identified patterns in the keywords: 'pencils tube woodland'.
SET OF 6 SOLDIER SKITTLES,Shopping,0.6564,The model identified patterns in the keywords: 'soldier skittles'.
ROCKING HORSE RED CHRISTMAS ,Transport,0.9556,The model identified patterns in the keywords: 'rocking horse christmas'.
CHRISTMAS GINGHAM HEART,Food & Dining,0.9994,The model identified patterns in the keywords: 'christmas gingham heart'.
CHRISTMAS GINGHAM STAR,Food & Dining,0.9995,The model identified patterns in the keywords: 'christmas gingham star'.
HAND WARMER UNION JACK,Other,0.5074,Model confidence was low; classified as Other.
HAND WARMER RED RETROSPOT,Bills & Utilities,0.8278,The model identified patterns in the keywords: 'hand warmer retrospot'.
REGENCY CAKESTAND 3 TIER,Shopping,0.7578,The model identified patterns in the keywords: 'regency cakestand tier'.
JUMBO SHOPPER VINTAGE RED PAISLEY,Shopping,0.9989,The model identified patterns in the keywords: 'jumbo shopper vintage paisley'.
RIBBON REEL SNOWY VILLAGE,Other,0.4911,Model confidence was low; classified as Other.
VINTAGE UNION JACK BUNTING,Shopping,0.9946,The model identified patterns in the keywords: 'vintage union jack bunting'.
JAM MAKING SET WITH JARS,Food & Dining,0.9997,The model identified patterns in the keywords: 'making with jars'.
RIBBON REEL STRIPES DESIGN ,Shopping,0.9613,The model identified patterns in the keywords: 'ribbon reel stripes design'.
RETRO LONGBOARD IRONING BOARD COVER,Shopping,0.9898,The model identified patterns in the keywords: 'retro longboard ironing board cover'.
3D DOG PICTURE PLAYING CARDS,Entertainment,0.9396,The model identified patterns in the keywords: 'picture playing cards'.
RETROSPOT CIGAR BOX MATCHES ,Shopping,0.9526,The model identified patterns in the keywords: 'retrospot cigar matches'.
SET/9 CHRISTMAS T-LIGHTS SCENTED ,Food & Dining,0.7544,The model identified patterns in the keywords: 'set/9 christmas t-lights scented'.
ROTATING SILVER ANGELS T-LIGHT HLDR,Shopping,0.924,The model identified patterns in the keywords: 'rotating silver angels t-light hldr'.
ROTATING SILVER ANGELS T-LIGHT HLDR,Shopping,0.924,The model identified patterns in the keywords: 'rotating silver angels t-light hldr'.
SAVE THE PLANET COTTON TOTE BAG,Shopping,0.9798,The model identified patterns in the keywords: 'save planet cotton tote'.
SET OF 20 VINTAGE CHRISTMAS NAPKINS,Shopping,0.9968,The model identified patterns in the keywords: 'vintage christmas napkins'.
PAPER BUNTING WHITE LACE,Shopping,0.9785,The model identified patterns in the keywords: 'paper bunting white lace'.
GENTLEMAN SHIRT REPAIR KIT ,Shopping,0.842,The model identified patterns in the keywords: 'gentleman shirt repair'.
CARD I LOVE LONDON ,Bills & Utilities,0.9029,The model identified patterns in the keywords: 'card love london'.
PAPER CHAIN KIT VINTAGE CHRISTMAS,Shopping,0.9993,The model identified patterns in the keywords: 'paper chain vintage christmas'.
MIRRORED WALL ART FOXY,Shopping,0.9992,The model identified patterns in the keywords: 'mirrored wall foxy'.
MIRRORED WALL ART GENTS,Shopping,0.9995,The model identified patterns in the keywords: 'mirrored wall gents'.
AIRLINE BAG VINTAGE JET SET WHITE,Transport,0.8235,The model identified patterns in the keywords: 'airline vintage white'.
JAM MAKING SET PRINTED,Food & Dining,0.9989,The model identified patterns in the keywords: 'making printed'.
POTTING SHED SOW 'N' GROW SET,Shopping,0.981,The model identified patterns in the keywords: 'potting shed grow'.
BABUSHKA LIGHTS STRING OF 10,Food & Dining,0.9987,The model identified patterns in the keywords: 'babushka lights string'.
REX CASH+CARRY JUMBO SHOPPER,Shopping,0.9985,The model identified patterns in the keywords: 'cash+carry jumbo shopper'.
AIRLINE BAG VINTAGE WORLD CHAMPION ,Shopping,0.9934,The model identified patterns in the keywords: 'airline vintage world champion'.
HAND WARMER BIRD DESIGN,Food & Dining,0.9656,The model identified patterns in the keywords: 'hand warmer bird design'.
CHRISTMAS CRAFT LITTLE FRIENDS,Food & Dining,0.9577,The model identified patterns in the keywords: 'christmas craft little friends'.
PINK HEARTS PAPER GARLAND,Shopping,0.9979,The model identified patterns in the keywords: 'pink hearts paper garland'.
POTTING SHED SEED ENVELOPES,Food & Dining,0.7032,The model identified patterns in the keywords: 'potting shed seed envelopes'.
HI TEC ALPINE HAND WARMER,Transport,0.987,The model identified patterns in the keywords: 'alpine hand warmer'.
FELTCRAFT CHRISTMAS FAIRY,Shopping,0.9995,The model identified patterns in the keywords: 'feltcraft christmas fairy'.
HI TEC ALPINE HAND WARMER,Transport,0.987,The model identified patterns in the keywords: 'alpine hand warmer'.
ROTATING SILVER ANGELS T-LIGHT HLDR,Shopping,0.924,The model identified patterns in the keywords: 'rotating silver angels t-light hldr'.
3 STRIPEY MICE FELTCRAFT,Food & Dining,0.8821,The model identified patterns in the keywords: 'stripey mice feltcraft'.
FELTCRAFT 6 FLOWER FRIENDS,Shopping,0.9994,The model identified patterns in the keywords: 'feltcraft flower friends'.
CHRISTMAS CRAFT LITTLE FRIENDS,Food & Dining,0.9577,The model identified patterns in the keywords: 'christmas craft little friends'.
VINTAGE UNION JACK CUSHION COVER,Shopping,0.9989,The model identified patterns in the keywords: 'vintage union jack cushion cover'.
POLYESTER FILLER PAD 45x45cm,Bills & Utilities,0.7805,The model identified patterns in the keywords: 'polyester filler 45x45cm'.
DOLLY GIRL LUNCH BOX,Shopping,0.9441,The model identified patterns in the keywords: 'dolly girl lunch'.
PACK OF 12 LONDON TISSUES ,Shopping,0.8302,The model identified patterns in the keywords: 'pack london tissues'.
CARD DOLLY GIRL ,Shopping,0.8764,The model identified patterns in the keywords: 'card dolly girl'.
CARD BILLBOARD FONT,Shopping,0.9485,The model identified patterns in the keywords: 'card billboard font'.
RAINY LADIES BIRTHDAY CARD,Food & Dining,0.8164,The model identified patterns in the keywords: 'rainy ladies birthday card'.
GREY HEART HOT WATER BOTTLE,Food & Dining,0.9906,The model identified patterns in the keywords: 'grey heart water bottle'.
RED WOOLLY HOTTIE WHITE HEART.,Shopping,0.9573,The model identified patterns in the keywords: 'woolly hottie white heart.'.
RED WHITE SCARF  HOT WATER BOTTLE,Food & Dining,0.9953,The model identified patterns in the keywords: 'white scarf water bottle'.
 SET 2 TEA TOWELS I LOVE LONDON ,Food & Dining,0.9992,The model identified patterns in the keywords: 'towels love london'.
SET OF 2 TEA TOWELS APPLE AND PEARS,Food & Dining,0.9994,The model identified patterns in the keywords: 'towels apple pears'.
SET/2 RED RETROSPOT TEA TOWELS ,Food & Dining,0.9985,The model identified patterns in the keywords: 'set/2 retrospot towels'.
LOVE BUILDING BLOCK WORD,Food & Dining,0.9879,The model identified patterns in the keywords: 'love building block word'.
HOME BUILDING BLOCK WORD,Shopping,0.9757,The model identified patterns in the keywords: 'home building block word'.
ASSORTED COLOUR BIRD ORNAMENT,Shopping,0.9964,The model identified patterns in the keywords: 'assorted colour bird ornament'.
LANTERN CREAM GAZEBO ,Food & Dining,0.9984,The model identified patterns in the keywords: 'lantern cream gazebo'.
BLUE BIRDHOUSE DECORATION,Shopping,0.9912,The model identified patterns in the keywords: 'blue birdhouse decoration'.
WHITE HANGING HEART T-LIGHT HOLDER,Shopping,0.9775,The model identified patterns in the keywords: 'white hanging heart t-light holder'.
REGENCY CAKESTAND 3 TIER,Shopping,0.7578,The model identified patterns in the keywords: 'regency cakestand tier'.
ANTIQUE SILVER TEA GLASS ENGRAVED,Shopping,0.9396,The model identified patterns in the keywords: 'antique silver glass engraved'.
AGED GLASS SILVER T-LIGHT HOLDER,Bills & Utilities,0.6981,The model identified patterns in the keywords: 'aged glass silver t-light holder'.
JAM MAKING SET WITH JARS,Food & Dining,0.9997,The model identified patterns in the keywords: 'making with jars'.
HAND WARMER OWL DESIGN,Food & Dining,0.8408,The model identified patterns in the keywords: 'hand warmer design'.
SET OF 2 WOODEN MARKET CRATES,Shopping,0.9954,The model identified patterns in the keywords: 'wooden market crates'.
SET OF 6 T-LIGHTS TOADSTOOLS,Other,0.393,Model confidence was low; classified as Other.
HAND WARMER UNION JACK,Other,0.5074,Model confidence was low; classified as Other.
HAND WARMER SCOTTY DOG DESIGN,Food & Dining,0.8244,The model identified patterns in the keywords: 'hand warmer scotty design'.
CLASSIC FRENCH STYLE BASKET NATURAL,Food & Dining,0.9583,The model identified patterns in the keywords: 'classic french style basket natural'.
CRAZY DAISY HEART DECORATION,Shopping,0.6093,The model identified patterns in the keywords: 'crazy daisy heart decoration'.
GIN + TONIC DIET METAL SIGN,Food & Dining,0.999,The model identified patterns in the keywords: 'tonic diet metal sign'.
IVORY GIANT GARDEN THERMOMETER,Shopping,0.9993,The model identified patterns in the keywords: 'ivory giant garden thermometer'.
CARD HOLDER GINGHAM HEART,Bills & Utilities,0.9783,The model identified patterns in the keywords: 'card holder gingham heart'.
SMALL STRIPES CHOCOLATE GIFT BAG ,Transport,0.99,Matched known merchant 'ola'.
S/6 WOODEN SKITTLES IN COTTON BAG,Food & Dining,0.8331,The model identified patterns in the keywords: 'wooden skittles cotton'.
HAND WARMER RED RETROSPOT,Bills & Utilities,0.8278,The model identified patterns in the keywords: 'hand warmer retrospot'.
HAND WARMER UNION JACK,Other,0.5074,Model confidence was low; classified as Other.
FRENCH WC SIGN BLUE METAL,Shopping,0.7014,The model identified patterns in the keywords: 'french sign blue metal'.
PINK UNION JACK  LUGGAGE TAG,Shopping,0.9952,The model identified patterns in the keywords: 'pink union jack luggage'.
"TRAY, BREAKFAST IN BED",Food & Dining,0.9987,"The model identified patterns in the keywords: 'tray, breakfast'."
PIZZA PLATE IN BOX,Food & Dining,0.9993,The model identified patterns in the keywords: 'pizza plate'.
HEART OF WICKER LARGE,Food & Dining,0.6838,The model identified patterns in the keywords: 'heart wicker large'.
PINK HEART DOTS HOT WATER BOTTLE,Food & Dining,0.9869,The model identified patterns in the keywords: 'pink heart dots water bottle'.
PLACE SETTING WHITE HEART,Other,0.5996,Model confidence was low; classified as Other.
SET OF 4 NAPKIN CHARMS LEAVES   ,Food & Dining,0.9978,The model identified patterns in the keywords: 'napkin charms leaves'.
SET OF 4 NAPKIN CHARMS STARS   ,Food & Dining,0.9733,The model identified patterns in the keywords: 'napkin charms stars'.
SET OF 4 NAPKIN CHARMS CUTLERY,Food & Dining,0.8409,The model identified patterns in the keywords: 'napkin charms cutlery'.
CARAVAN SQUARE TISSUE BOX,Medical,0.735,The model identified patterns in the keywords: 'caravan square tissue'.
PLASTERS IN TIN SKULLS,Shopping,0.9906,The model identified patterns in the keywords: 'plasters skulls'.
PLASTERS IN TIN SPACEBOY,Shopping,0.9928,The model identified patterns in the keywords: 'plasters spaceboy'.
BUTTON BOX ,Bills & Utilities,0.8674,The model identified patterns in the keywords: 'button'.
PLASTERS IN TIN VINTAGE PAISLEY ,Shopping,0.9979,The model identified patterns in the keywords: 'plasters vintage paisley'.
12 MESSAGE CARDS WITH ENVELOPES,Bills & Utilities,0.64,The model identified patterns in the keywords: 'message cards with envelopes'.
SMALL RED BABUSHKA NOTEBOOK ,Shopping,0.9501,The model identified patterns in the keywords: 'small babushka notebook'.
CUPCAKE LACE PAPER SET 6,Food & Dining,0.9558,The model identified patterns in the keywords: 'cupcake lace paper'.
PACK 3 BOXES CHRISTMAS PANNETONE,Shopping,0.9933,The model identified patterns in the keywords: 'pack boxes christmas pannetone'.
HERB MARKER MINT,Food & Dining,0.9434,The model identified patterns in the keywords: 'herb marker mint'.
HERB MARKER ROSEMARY,Food & Dining,0.9686,The model identified patterns in the keywords: 'herb marker rosemary'.
HERB MARKER BASIL,Food & Dining,0.9593,The model identified patterns in the keywords: 'herb marker basil'.
HERB MARKER CHIVES ,Other,0.4566,Model confidence was low; classified as Other.
HERB MARKER PARSLEY,Food & Dining,0.7886,The model identified patterns in the keywords: 'herb marker parsley'.
HERB MARKER THYME,Other,0.4185,Model confidence was low; classified as Other.
WHITE HANGING HEART T-LIGHT HOLDER,Shopping,0.9775,The model identified patterns in the keywords: 'white hanging heart t-light holder'.
